Date,Promoter,Public
2026-03-31,56.36,43.64
2025-12-31,56.36,43.64
2025-09-30,56.37,43.63
2025-07-04,56.38,43.62
2025-06-30,58.05,41.95
2025-03-31,58.06,41.94
2024-12-31,58.06,41.94
2024-09-30,58.07,41.93
2024-06-30,58.09,41.91
2024-03-31,58.11,41.89
2023-12-31,58.11,41.89
2023-09-30,58.12,41.88
2023-06-30,58.12,41.88
2023-03-31,58.12,41.88
2022-12-31,58.12,41.88
2022-09-30,58.12,41.88
2022-06-30,58.12,41.88
2022-05-18,58.12,41.88
2022-03-31,55.65,44.35
2022-02-11,55.64,44.36
2021-12-31,52.7,47.3
2021-09-30,52.7,47.3
2021-06-30,53.25,46.75
2021-03-31,53.25,46.75
2020-12-31,53.18,46.82
2020-12-19,53.18,46.82
2020-11-26,50.64,49.36
2020-09-30,0.0,100.0
2020-06-30,0.0,100.0
2020-03-31,0.0,100.0
