Date,Promoter,Public
2026-03-31,54.8,45.2
2025-12-31,54.8,45.2
2025-09-30,54.8,45.2
2025-07-07,54.8,45.2
2025-06-30,54.8,45.2
2025-03-31,54.8,45.2
2024-12-31,54.8,45.2
2024-09-30,54.8,45.2
2024-06-30,54.8,45.2
2024-03-31,54.8,45.2
2023-12-31,54.8,45.2
2023-09-30,54.8,45.2
2023-06-30,54.8,45.2
2023-03-31,54.8,45.2
2022-12-31,54.8,45.2
2022-09-30,54.8,45.2
2022-06-30,54.8,45.2
2022-03-31,54.8,45.2
2021-12-31,54.8,45.2
2021-09-30,54.8,45.2
2021-06-30,54.8,45.2
2021-03-31,54.8,45.2
2020-12-31,54.8,45.2
2020-09-30,54.8,45.2
2020-06-30,54.8,45.2
2020-03-31,54.8,45.2
