Date,Promoter,Public
2026-03-31,59.27,40.73
2025-12-31,59.27,40.73
2025-09-30,59.27,40.73
2025-06-30,59.27,40.73
2025-03-31,59.27,40.73
2024-12-31,59.27,40.73
2024-09-30,59.27,40.73
2024-06-30,59.27,40.73
2024-03-31,59.27,40.73
2023-12-31,59.29,40.71
2023-09-30,59.29,40.71
2023-06-30,59.29,40.71
2023-03-31,59.29,40.71
2022-12-31,59.29,40.71
2022-09-30,59.29,40.71
2022-06-30,59.26,40.74
2022-03-31,59.26,40.74
2021-12-31,59.21,40.79
2021-09-30,59.21,40.79
2021-06-30,59.2,40.8
2021-03-31,59.2,40.8
2020-12-31,59.2,40.8
2020-09-30,59.2,40.8
2020-06-30,59.2,40.8
2020-03-31,59.2,40.8
