Date,Promoter,Public
2026-03-31,39.02,60.98
2025-12-31,39.02,60.98
2025-09-30,39.02,60.98
2025-06-30,39.02,60.98
2025-03-31,39.02,60.98
2024-12-31,39.02,60.98
2024-09-30,39.02,60.98
2024-06-30,39.02,60.98
2024-03-31,39.01,60.99
2024-03-01,39.01,60.99
2024-01-12,40.12,59.88
2023-12-31,40.96,59.04
2023-09-30,40.96,59.04
2023-07-27,40.96,59.04
2023-06-30,42.8,57.2
2023-03-31,42.81,57.19
2022-12-31,42.8,57.2
2022-12-30,42.8,57.2
2022-09-30,44.68,55.32
2022-06-30,44.51,55.49
2022-03-31,44.41,55.59
2021-12-31,44.41,55.59
2021-09-30,43.14,56.86
2021-06-30,43.14,56.86
2021-01-12,40.12,59.88
