Date,Promoter,Public
2026-03-31,30.07,69.93
2025-12-31,30.07,69.93
2025-09-30,30.07,69.93
2025-06-30,30.07,69.93
2025-03-31,30.07,69.93
2024-12-31,30.07,69.93
2024-09-30,30.07,69.93
2024-06-30,30.07,69.93
2024-03-31,30.07,69.93
2023-12-31,30.07,69.93
2023-09-30,30.07,69.93
2023-06-30,30.07,69.93
2023-03-31,30.07,69.93
2022-12-31,30.07,69.93
2022-09-30,30.07,69.93
2022-06-30,30.07,69.93
2022-03-31,30.06,69.94
2022-03-12,29.95,70.05
2021-12-31,29.21,70.79
2021-09-30,29.21,70.79
2021-06-30,29.21,70.79
2021-03-31,29.21,70.79
2020-12-31,29.21,70.79
2020-09-30,29.49,70.51
2020-06-30,29.13,70.87
2020-03-31,28.83,71.17
