Date,Promoter,Public
2026-03-31,66.33,33.67
2025-12-31,66.24,33.76
2025-09-30,66.24,33.76
2025-06-30,66.24,33.76
2025-03-31,66.24,33.76
2024-12-31,66.07,33.93
2024-09-30,66.07,33.93
2024-07-25,66.07,33.93
2024-07-10,49.88,50.12
2024-06-30,59.07,40.93
2024-03-31,59.07,40.93
2023-12-31,59.07,40.93
2023-09-30,59.07,40.93
2023-06-30,59.07,40.93
2023-03-31,59.0,41.0
2022-12-31,58.9,41.1
2022-09-30,58.9,41.1
2022-06-30,58.9,41.1
2022-03-31,58.9,41.1
2021-12-31,59.83,40.17
2021-09-30,60.5,39.5
2021-06-30,61.49,38.51
2021-03-31,62.61,37.39
2020-12-31,63.61,36.39
2020-09-30,65.52,34.48
2020-06-30,65.52,34.48
2020-03-31,65.31,34.69
