Date,Promoter,Public
2026-03-31,41.57,58.43
2025-12-31,41.58,58.42
2025-09-30,41.58,58.42
2025-06-30,43.54,56.46
2025-03-31,49.27,50.73
2024-12-31,49.27,50.73
2024-09-30,49.29,50.71
2024-06-30,55.29,44.71
2024-03-31,57.29,42.71
2023-12-31,63.13,36.87
2023-09-30,63.24,36.76
2023-06-30,67.77,32.23
2023-03-31,67.86,32.14
2022-12-31,71.92,28.08
2022-09-30,71.93,28.07
2022-06-30,74.77,25.23
2022-03-31,74.77,25.23
2021-12-31,74.78,25.22
2021-09-30,74.79,25.21
2021-06-30,74.84,25.16
2021-03-31,74.84,25.16
2020-12-31,74.85,25.15
2020-09-30,74.86,25.14
2020-06-30,74.86,25.14
2020-03-31,74.86,25.14
