Date,Promoter,Public
2026-03-31,44.18,55.82
2025-12-31,44.18,55.82
2025-09-30,44.18,55.82
2025-08-21,44.18,55.82
2025-06-30,44.18,55.82
2025-06-24,44.18,55.82
2025-03-31,48.27,51.73
2024-12-31,48.27,51.73
2024-09-30,48.27,51.73
2024-06-30,48.27,51.73
2024-05-27,52.87,47.13
2024-03-31,52.87,47.13
2023-12-31,52.87,47.13
2023-09-30,64.64,35.36
2023-06-30,72.01,27.99
2023-03-31,72.01,27.99
2023-03-15,72.01,27.99
2022-12-31,72.24,27.76
2022-09-30,72.24,27.76
2022-06-30,72.24,27.76
2022-06-02,72.24,27.76
2022-05-25,71.64,28.36
2022-03-31,67.55,32.45
2021-12-31,67.55,32.45
2021-09-30,66.82,33.18
2021-06-30,73.39,26.61
2021-03-31,73.39,26.61
2020-12-31,75.0,25.0
2020-09-30,75.0,25.0
2020-06-30,75.0,25.0
2020-03-31,75.0,25.0
