Date,Promoter,Public
2026-03-31,0.0,100.0
2025-12-31,0.0,100.0
2025-09-30,0.0,100.0
2025-06-30,0.0,100.0
2025-06-18,0.0,100.0
2025-05-28,0.0,100.0
2025-03-31,0.0,100.0
2025-03-18,0.0,100.0
2024-12-31,0.0,100.0
2024-10-16,0.0,100.0
2024-09-30,0.0,100.0
2024-06-30,0.0,100.0
2024-05-29,0.0,100.0
2024-03-31,0.0,100.0
2024-03-30,0.0,100.0
2023-12-31,0.0,100.0
2023-12-30,0.0,100.0
2023-09-30,0.0,100.0
2023-06-30,0.0,100.0
2023-05-12,0.0,100.0
2023-03-31,0.0,100.0
2022-12-31,0.0,100.0
2022-09-30,0.0,100.0
2022-06-30,0.0,100.0
2022-03-31,0.0,100.0
2021-12-31,0.0,100.0
2021-12-24,0.0,100.0
2021-09-30,0.0,100.0
2021-06-30,0.0,100.0
2021-03-31,18.16,81.84
2020-12-31,18.1,81.88
2020-09-30,18.1,81.88
2020-06-30,18.1,81.89
2020-03-31,18.1,81.89
