Date,Promoter,Public
2026-03-31,28.85,71.15
2025-12-31,28.9,71.1
2025-09-30,28.97,71.03
2025-06-30,28.97,71.03
2025-03-31,29.09,70.91
2024-12-31,29.09,70.91
2024-09-30,29.15,70.85
2024-06-30,29.15,70.85
2024-03-31,29.15,70.85
2023-12-31,29.15,70.85
2023-12-19,29.15,70.85
2023-11-19,30.04,69.96
2023-09-30,31.6,68.4
2023-06-30,31.6,68.4
2023-03-31,31.6,68.4
2023-02-17,31.6,68.4
2023-01-10,32.87,67.13
2022-12-31,31.27,68.73
2022-09-30,31.27,68.73
2022-06-30,31.27,68.73
2022-04-25,31.27,68.73
2022-03-31,34.52,65.48
2021-12-31,31.04,68.96
2021-09-30,25.54,74.46
2021-06-30,22.34,77.66
2021-03-31,22.34,77.66
2020-12-31,22.34,77.66
2020-09-30,22.34,77.66
2020-06-30,22.34,77.66
2020-03-31,22.34,77.66
