Date,Promoter,Public
2026-03-31,59.58,40.42
2025-12-31,59.6,40.4
2025-09-30,59.6,40.4
2025-08-18,59.6,40.4
2025-06-30,57.97,42.03
2025-03-31,57.97,42.03
2024-12-31,58.03,41.97
2024-09-30,58.03,41.97
2024-06-30,58.03,41.97
2024-03-31,58.04,41.96
2023-12-31,58.04,41.96
2023-09-30,58.04,41.96
2023-06-30,58.04,41.96
2023-03-31,58.09,41.91
2022-12-31,58.1,41.9
2022-09-30,58.11,41.89
2022-06-30,58.12,41.88
2022-03-31,58.18,41.82
2021-12-31,58.18,41.82
2021-09-30,58.25,41.75
2021-06-30,58.31,41.69
2021-03-31,58.34,41.66
2020-12-31,58.35,41.65
2020-09-30,58.4,41.6
2020-06-30,58.42,41.58
2020-03-31,58.45,41.55
