Date,Promoter,Public
2026-03-31,58.53,41.47
2025-12-31,58.28,41.72
2025-09-30,58.28,41.72
2025-06-30,58.28,41.72
2025-03-31,58.28,41.72
2024-12-31,58.28,41.72
2024-09-30,58.19,41.81
2024-06-30,58.19,41.81
2024-03-31,58.19,41.81
2023-12-31,58.19,41.81
2023-11-24,58.19,41.81
2023-09-30,56.48,43.52
2023-06-30,56.48,43.52
2023-03-31,56.48,43.52
2022-12-31,56.37,43.63
2022-09-30,56.37,43.63
2022-06-30,56.37,43.63
2022-03-31,56.37,43.63
2021-12-31,56.37,43.63
2021-09-30,56.37,43.63
2021-06-30,56.37,43.63
2021-03-31,56.37,43.63
2020-12-31,56.37,43.63
2020-09-30,56.37,43.63
2020-06-30,56.28,43.72
2020-03-31,56.28,43.72
