Date,Promoter,Public
2026-03-31,70.37,29.63
2025-12-31,70.37,29.63
2025-09-30,70.37,29.63
2025-06-30,70.37,29.63
2025-03-31,70.45,29.55
2024-12-31,70.45,29.55
2024-09-30,70.45,29.55
2024-06-30,70.45,29.55
2024-03-31,70.45,29.55
2023-12-31,70.45,29.55
2023-09-30,70.45,29.55
2023-06-30,70.45,29.55
2023-03-31,70.45,29.55
2022-12-31,69.25,30.75
2022-09-30,69.03,30.97
2022-06-30,69.03,30.97
2022-03-31,69.03,30.97
2021-12-31,69.03,30.97
2021-09-30,69.03,30.97
2021-06-30,69.03,30.97
2021-03-31,69.03,30.97
2020-12-31,69.03,30.97
2020-09-30,69.03,30.97
2020-06-30,69.02,30.97
2020-03-31,69.02,30.98
