Date,Promoter,Public
2026-03-31,54.19,45.81
2025-12-31,54.19,45.81
2025-09-30,54.19,45.81
2025-06-30,54.19,45.81
2025-03-31,54.19,45.81
2024-12-31,54.19,45.81
2024-09-30,54.19,45.81
2024-08-28,54.19,45.81
2024-06-30,52.3,47.7
2024-03-31,52.67,47.33
2023-12-31,52.67,47.33
2023-11-03,53.31,46.69
2023-09-30,52.67,47.33
2023-06-30,52.67,47.33
2023-03-31,52.67,47.33
2022-12-31,52.67,47.33
2022-09-30,52.67,47.33
2022-06-30,52.67,47.33
2022-03-31,52.67,47.33
2021-12-31,52.67,47.33
2021-09-30,52.67,47.33
2021-06-30,56.66,43.34
2021-03-31,56.66,43.34
2020-12-31,56.66,43.34
2020-09-30,56.66,43.34
2020-03-31,56.66,43.34
