Date,Promoter,Public
2026-03-31,50.02,49.98
2025-12-31,50.02,49.98
2025-09-30,50.02,49.98
2025-06-30,50.02,49.98
2025-03-31,50.02,49.98
2024-12-31,50.02,49.98
2024-09-30,50.02,49.98
2024-06-30,50.02,49.98
2024-03-31,50.02,49.98
2023-12-31,50.02,49.98
2023-09-30,50.02,49.98
2023-06-30,50.02,49.98
2023-03-31,50.02,49.98
2022-12-31,50.02,49.98
2022-09-30,50.02,49.98
2022-06-30,50.02,49.98
2022-03-31,50.02,49.98
2021-12-31,51.62,48.38
2021-09-30,51.74,48.26
2021-06-30,55.61,44.39
2021-03-31,55.67,44.33
2020-12-31,59.02,40.98
2020-09-30,61.31,38.69
2020-06-30,61.5,38.5
2020-03-31,61.5,38.5
