Date,Promoter,Public
2026-03-31,35.99,64.01
2025-12-31,35.91,64.09
2025-09-30,35.91,64.09
2025-06-30,35.91,64.09
2025-03-31,35.91,64.09
2024-12-31,36.12,63.88
2024-10-08,37.56,62.44
2024-09-30,35.53,64.47
2024-06-30,36.42,63.58
2024-03-31,36.85,63.15
2023-12-31,36.85,63.15
2023-09-30,37.31,62.69
2023-06-30,39.17,60.83
2023-03-31,39.49,60.51
2022-12-31,39.53,60.47
2022-11-16,39.53,60.47
2022-09-30,39.85,60.15
2022-06-30,41.08,58.92
2022-03-31,41.08,58.92
2021-12-31,40.75,59.25
2021-12-02,41.1,58.9
2021-09-30,39.35,60.65
2021-06-30,39.35,60.65
2021-03-31,42.8,57.2
2021-03-22,43.76,56.24
2020-12-31,36.19,63.81
2020-09-30,36.19,63.81
2020-06-30,41.8,58.2
2020-03-31,41.8,58.2
