Date,Promoter,Public
2026-03-31,72.72,27.28
2025-12-31,72.72,27.28
2025-09-30,72.72,27.28
2025-06-30,72.31,27.69
2025-03-31,72.31,27.69
2024-12-31,72.31,27.69
2024-09-30,72.31,27.69
2024-06-30,72.31,27.69
2024-03-31,72.04,27.96
2023-12-31,72.04,27.96
2023-09-30,72.04,27.96
2023-06-30,72.04,27.96
2023-03-31,72.04,27.96
2022-12-31,72.04,27.96
2022-09-30,72.04,27.96
2022-06-30,72.04,27.96
2022-03-31,72.04,27.96
2021-12-31,72.04,27.96
2021-09-30,72.04,27.96
2021-06-30,72.04,27.96
2021-03-31,71.96,28.04
2020-12-31,71.96,28.04
2020-09-30,71.96,28.04
2020-06-30,71.51,28.49
2020-03-31,71.51,28.49
