Date,Promoter,Public
2026-03-31,71.22,28.78
2026-01-16,71.22,28.78
2025-12-31,35.07,64.93
2025-09-30,35.07,64.93
2025-06-30,35.07,64.93
2025-03-31,35.07,64.93
2024-12-31,35.07,64.93
2024-09-30,35.07,64.93
2024-06-30,42.77,57.23
2024-03-31,43.54,56.46
2023-12-31,43.77,56.23
2023-09-30,43.77,56.23
2023-06-30,43.77,56.23
2023-03-31,43.77,56.23
2022-12-31,43.77,56.23
2022-09-30,43.77,56.23
2022-06-30,43.77,56.23
2022-03-31,43.77,56.23
2021-12-31,42.55,57.45
2021-09-30,0.0,100.0
2021-08-14,0.0,100.0
2021-06-30,0.0,100.0
2021-03-31,0.0,100.0
2020-12-31,7.24,92.76
2020-09-30,7.24,92.76
2020-06-30,7.24,92.76
2020-03-31,7.24,92.76
