Date,Promoter,Public
2026-03-31,66.5,33.5
2025-12-31,66.48,33.52
2025-09-30,66.48,33.52
2025-09-15,66.48,33.52
2025-06-30,66.48,33.52
2025-06-19,66.48,33.52
2025-03-31,66.48,33.52
2024-12-31,66.48,33.52
2024-11-30,66.48,33.52
2024-09-30,66.48,33.52
2024-06-30,66.48,33.52
2024-03-31,66.47,33.53
2024-02-19,66.26,33.74
2023-12-31,71.89,28.11
2023-09-30,71.89,28.11
2023-06-30,71.89,28.11
2023-03-31,71.89,28.11
2022-12-31,71.89,28.11
2022-09-30,71.89,28.11
2022-06-30,71.89,28.1
2022-03-31,71.89,28.11
2021-12-31,71.89,28.11
2021-09-30,71.89,28.11
2021-06-30,71.89,28.11
2021-03-31,71.89,28.11
2020-12-31,71.89,28.11
2020-09-30,71.89,28.1
2020-06-30,71.89,28.11
2020-03-31,71.89,28.11
