Date,Promoter,Public
2026-03-31,50.01,49.99
2025-12-31,50.01,49.99
2025-09-30,50.01,49.99
2025-06-30,50.01,49.99
2025-03-31,50.01,49.99
2024-12-31,50.01,49.99
2024-09-30,47.61,52.39
2024-06-30,46.43,53.57
2024-03-31,45.24,54.76
2023-12-31,44.27,55.73
2023-09-30,43.0,57.0
2023-06-30,41.75,58.25
2023-03-31,40.25,59.75
2022-12-31,40.25,59.75
2022-09-30,40.25,59.75
2022-06-30,40.25,59.75
2022-03-31,40.25,59.75
2021-12-31,40.25,59.75
2021-09-30,40.25,59.75
2021-06-30,40.25,59.75
2021-03-31,40.25,59.75
2020-12-31,40.25,59.75
2020-09-30,40.25,59.75
2020-06-30,40.25,59.75
2020-03-31,40.25,59.75
