Date,Promoter,Public
2026-03-31,44.34,55.66
2025-12-31,43.71,56.29
2025-09-30,43.31,56.69
2025-06-30,43.2,56.8
2025-03-31,43.21,56.79
2024-12-31,42.89,57.11
2024-09-30,42.89,57.11
2024-06-30,46.68,53.32
2024-03-31,49.95,50.05
2023-12-31,62.31,37.69
2023-09-30,64.54,35.46
2023-06-30,64.9,35.1
2023-03-31,64.84,35.16
2022-12-31,64.72,35.28
2022-09-30,64.77,35.23
2022-06-30,65.09,34.91
2022-03-31,65.23,34.77
2021-12-31,66.9,33.1
2021-09-30,70.34,29.66
2021-06-30,70.03,29.97
2021-03-31,70.19,29.81
2020-12-31,69.78,30.22
2020-09-30,69.32,30.68
2020-06-30,68.71,31.29
2020-03-31,69.09,30.91
