Date,Promoter,Public
2026-03-31,11.73,88.27
2025-12-31,11.73,88.27
2025-09-30,11.73,88.27
2025-06-30,11.74,88.26
2025-03-31,13.25,86.75
2024-12-31,13.25,86.75
2024-09-30,13.25,86.75
2024-06-30,13.27,86.73
2024-03-31,13.29,86.71
2023-12-31,13.29,86.71
2023-09-30,13.29,86.71
2023-08-14,13.29,86.71
2023-06-30,14.5,85.5
2023-03-31,14.5,85.5
2022-12-31,14.5,85.5
2022-10-31,14.5,85.5
2022-09-30,14.5,85.5
2022-09-23,14.5,85.5
2022-06-30,14.92,85.08
2022-05-24,14.92,85.08
2022-03-31,15.85,84.15
2021-12-31,16.04,83.96
2021-12-26,16.04,83.96
2021-09-30,16.41,83.59
2021-06-30,16.52,83.48
2021-04-16,16.56,83.44
2021-03-31,17.17,82.83
2020-12-31,17.46,82.54
2020-09-30,17.76,82.24
2020-07-14,17.76,82.24
2020-06-30,18.94,81.06
2020-06-27,18.94,81.06
2020-03-31,19.79,80.21
