Date,Promoter,Public
2026-03-31,64.36,35.64
2025-12-31,64.36,35.64
2025-09-30,64.36,35.64
2025-06-30,64.36,35.64
2025-03-31,64.36,35.64
2025-02-17,64.36,35.64
2024-12-31,64.36,35.64
2024-09-30,66.16,33.84
2024-06-30,66.16,33.84
2024-06-14,66.16,33.84
2024-03-31,69.65,30.35
2023-12-31,69.65,30.35
2023-10-13,69.65,30.35
2023-09-30,74.91,25.09
2023-06-30,74.91,25.09
2023-03-31,74.91,25.09
2022-12-31,74.91,25.09
2022-09-30,74.91,25.09
2022-06-30,74.91,25.09
2022-03-31,74.91,25.09
2021-12-31,74.91,25.09
2021-09-30,74.91,25.09
2021-06-30,74.91,25.09
2021-03-31,74.91,25.09
2020-12-31,74.91,25.09
2020-09-30,74.91,25.1
2020-06-30,74.91,25.09
2020-03-31,74.91,25.09
