Date,Promoter,Public
2026-03-31,69.46,30.54
2025-12-31,69.46,30.54
2025-09-30,69.46,30.54
2025-06-30,69.54,30.46
2025-03-31,69.54,30.46
2024-12-31,69.54,30.46
2024-09-30,69.54,30.46
2024-06-30,69.6,30.4
2024-03-31,69.6,30.4
2023-12-31,69.62,30.38
2023-09-30,69.62,30.38
2023-06-30,69.66,30.34
2023-03-31,69.66,30.34
2022-12-31,66.87,33.13
2022-09-30,66.66,33.34
2022-06-30,66.69,33.31
2022-03-31,66.69,33.31
2021-12-31,66.7,33.3
2021-09-30,66.7,33.3
2021-06-30,66.79,33.21
2021-03-31,66.79,33.21
2020-12-31,66.79,33.21
2020-09-30,66.79,33.21
2020-06-30,66.93,33.07
2020-03-31,66.91,33.08
