Date,Promoter,Public
2026-03-31,68.73,31.27
2025-12-31,68.73,31.27
2025-09-30,68.73,31.27
2025-06-30,68.73,31.27
2025-03-31,68.81,31.19
2024-12-31,68.74,31.26
2024-09-30,68.78,31.22
2024-09-27,68.78,31.22
2024-06-30,68.94,31.06
2024-03-31,68.92,31.08
2023-12-31,68.92,31.08
2023-09-30,68.94,31.06
2023-06-30,68.94,31.06
2023-03-31,68.99,31.01
2022-12-31,69.03,30.97
2022-09-30,69.03,30.97
2022-06-30,66.57,33.43
2022-03-31,66.57,33.43
2021-12-31,66.54,33.46
2021-09-30,66.54,33.46
2021-06-30,66.71,33.29
2021-03-31,66.71,33.29
2020-12-31,66.79,33.21
2020-09-30,66.74,33.26
2020-06-30,66.88,33.12
2020-03-31,66.87,33.13
