Date,Promoter,Public
2026-03-31,26.87,73.13
2025-12-31,26.87,73.13
2025-09-30,26.88,73.12
2025-06-30,26.88,73.12
2025-03-31,33.22,66.78
2024-12-31,34.27,65.73
2024-09-30,34.27,65.73
2024-06-30,34.27,65.73
2024-03-31,34.27,65.73
2023-12-31,34.27,65.73
2023-09-30,34.27,65.73
2023-06-30,58.42,41.55
2023-03-31,58.5,41.29
2022-12-31,58.45,41.34
2022-11-01,58.45,41.34
2022-09-30,58.57,41.43
2022-06-30,58.61,40.79
2022-03-31,58.65,40.75
2021-12-31,58.65,40.75
2021-09-30,58.73,40.66
2021-06-30,58.88,39.75
2021-03-31,58.97,39.81
2020-12-31,58.65,40.14
2020-09-30,58.57,40.18
2020-06-30,58.55,39.63
2020-03-31,58.55,39.63
