Date,Promoter,Public
2026-03-31,42.56,57.44
2025-12-31,42.56,57.44
2025-09-30,42.57,57.43
2025-06-30,42.57,57.43
2025-03-31,42.58,57.42
2024-12-31,42.58,57.42
2024-09-30,42.58,57.42
2024-09-01,41.86,58.14
2024-06-30,46.36,53.64
2024-03-31,46.36,53.64
2023-12-31,46.37,53.63
2023-09-30,46.38,53.62
2023-06-30,46.39,53.61
2023-03-31,46.39,53.61
2022-12-31,46.39,53.61
2022-09-30,46.4,53.6
2022-06-30,46.4,53.6
2022-03-31,46.4,53.6
2021-12-31,46.4,53.6
2021-09-30,46.41,53.59
2021-06-30,46.41,53.59
2021-03-31,46.41,53.59
2021-01-29,46.41,53.59
2020-12-31,42.39,57.61
2020-09-30,42.39,57.61
2020-06-30,42.39,57.61
2020-03-31,42.39,57.61
