Date,Promoter,Public
2026-03-31,49.74,50.26
2025-12-31,48.23,51.77
2025-09-30,48.23,51.77
2025-06-30,48.22,51.78
2025-03-31,48.22,51.78
2024-09-30,48.2,51.8
2024-06-30,48.2,51.8
2024-03-31,48.19,51.81
2023-12-31,48.18,51.82
2023-09-30,48.18,51.82
2023-06-30,48.16,51.84
2023-03-31,48.15,51.85
2022-12-31,48.13,51.87
2022-10-19,48.11,51.89
2022-09-30,52.45,47.55
2022-06-30,52.44,47.56
2022-03-31,52.3,47.7
2021-12-31,52.3,47.7
2021-09-30,52.27,47.73
2021-06-30,52.27,47.72
2021-03-31,52.27,47.72
2020-12-31,52.27,47.73
2020-09-30,52.3,47.7
2020-03-31,52.3,47.69
