Date,Promoter,Public
2026-03-31,55.84,44.16
2025-12-31,55.84,44.16
2025-09-30,55.84,44.16
2025-06-30,55.84,44.16
2025-03-31,55.84,44.16
2024-12-31,55.84,44.16
2024-09-30,55.84,44.16
2024-06-30,55.84,44.16
2024-03-31,55.84,44.16
2023-12-31,55.84,44.16
2023-09-30,55.84,44.16
2023-06-30,55.84,44.16
2023-03-31,55.84,44.16
2022-12-31,55.94,44.06
2022-09-30,55.94,44.06
2022-06-30,67.78,32.22
2022-03-31,67.78,32.22
2021-12-31,67.78,32.22
2021-06-30,67.78,32.22
2021-03-31,67.78,32.22
2020-12-31,67.78,32.22
2020-09-30,67.78,32.22
2020-06-30,67.78,32.22
2020-03-31,67.78,32.22
