Date,Promoter,Public
2026-03-31,60.24,39.76
2025-12-31,60.24,39.76
2025-09-30,60.24,39.76
2025-08-18,60.24,39.76
2025-06-30,60.24,39.76
2025-03-31,60.24,39.76
2024-12-31,60.24,39.76
2024-09-30,60.24,39.76
2024-06-30,60.24,39.76
2024-03-31,60.24,39.76
2023-12-31,60.24,39.76
2023-09-30,60.24,39.76
2023-06-30,64.24,35.76
2023-03-31,64.17,35.83
2022-12-31,64.17,35.83
2022-09-30,69.59,30.41
2022-06-30,69.59,30.4
2022-03-31,69.59,30.4
2021-09-30,69.59,30.41
2021-06-30,69.59,30.41
2021-03-31,69.59,30.41
2020-12-31,68.05,31.96
2020-09-30,68.05,31.95
2020-06-30,68.05,31.95
2020-03-31,68.05,31.94
