Date,Promoter,Public
2026-03-31,48.51,51.09
2025-12-31,48.51,51.07
2025-09-30,48.51,51.07
2025-06-30,49.05,50.52
2025-03-31,49.05,50.51
2024-12-31,49.05,50.49
2024-09-30,51.26,48.27
2024-08-23,51.26,48.26
2024-06-30,55.07,44.4
2024-03-31,55.07,44.31
2023-12-31,55.07,44.16
2023-09-30,57.45,41.78
2023-06-30,57.45,41.78
2023-05-24,57.45,41.97
2023-03-31,60.14,39.26
2022-12-31,60.19,39.46
2022-09-30,60.19,39.46
2022-06-30,60.19,39.46
2022-03-31,60.19,39.81
2021-12-31,60.19,39.81
2021-09-30,60.19,39.81
2021-06-30,60.19,39.81
2021-03-31,60.19,39.81
2020-12-31,60.19,39.81
2020-09-30,58.3,41.7
2020-09-03,58.3,41.7
2020-06-30,59.56,40.44
2020-03-31,59.56,40.44
