stock symbol,name,macro,sector,industry,basic_industry,total_shares
061NSETEST,061NSETEST,,,,,0.0
ABCOTS,A B COTSPIN INDIA LIMITED,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,0.0
ABGSEC,BIRLASLAMC - ABGSEC,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
ABINFRA,A B INFRABUILD LIMITED,Industrials,Construction,Construction,Civil Construction,0.0
ABSL10BANK,BIRLASLAMC - ABSL10BANK,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
ABSLBANETF,BIRLASLAMC - ABSLBANETF,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
ABSLMSCIN,BIRLASLAMC - ABSLMSCIN,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
ABSLPSE,BIRLASLAMC-ABSLPSE,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
ACCELYA,ACCELYA SOLN INDIA LTD,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,0.0
ACEINTEG,ACE INTEGRATED SOLU. LTD.,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,0.0
ADFFOODS,ADF FOODS LIMITED,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,0.0
ADL,ARCHIDPLY DECOR LIMITED,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates,0.0
ADOR,ADOR WELDING LTD,Industrials,Capital Goods,Industrial Products,Other Industrial Products,0.0
ADROITINFO,ADROIT INFOTECH LIMITED,Information Technology,Information Technology,IT - Services,IT Enabled Services,0.0
ADSL,ALLIED DIGITAL SERV. LTD,Information Technology,Information Technology,IT - Services,IT Enabled Services,0.0
ADVAIT,ADVAIT ENRGY TRANSITION L,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,0.0
ADVANCE,ADVANCE AGROLIFE LIMITED,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,0.0
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,0.0
ADVENTHTL,ADVENT HOTELS INTERNATI L,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,0.0
ADVENZYMES,ADVANCED ENZYME TECH LTD,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Biotechnology,0.0
AEQUS,AEQUS LIMITED,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,0.0
AEROENTER,AEROFLEX ENTERPRISES LTD,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,0.0
AEROFLEX,AEROFLEX INDUSTRIES LTD,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,0.0
MCLEODRUSS,MCLEOD RUSSEL INDIA LTD.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee,0.0
171NSETEST,171NSETEST,,,,,0.0
AERONEU,AEROFLEX NEU LIMITED,Industrials,Capital Goods,Industrial Products,Packaging,0.0
